fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio
2003-12-01,,,,,,,,60.6,56.8,58.63333333333333,3.714622641509435,3.4608378870673917,4.713909133198935,0.17636684303350414,2003-11-01,2004-01-01
2004-01-01,,,,,,,,57.0,57.5,57.5,3.9783001808318286,3.790613718411562,3.825136612021862,1.232394366197198,2003-12-01,2004-02-01
2004-02-01,,,,,,,,54.9,57.9,57.93333333333334,4.761904761904767,4.136690647482011,4.189944134078205,0.6956521739130306,2004-01-01,2004-03-01
2004-03-01,,,,,,,,61.9,58.5,59.13333333333333,5.344418052256539,5.405405405405395,4.761904761904767,1.0362694300518172,2004-02-01,2004-04-01
2004-04-01,,,,,,,,60.6,58.8,60.86666666666667,5.671296296296302,5.187835420393561,4.9708911777877285,0.512820512820511,2004-03-01,2004-05-01
2004-05-01,,,,,,,,60.1,59.1,59.73333333333333,5.5981143193871485,5.535714285714288,5.103497501784449,0.5102040816326703,2004-04-01,2004-06-01
2004-06-01,,,,,,,,58.5,59.3,58.866666666666674,6.066066066066078,5.328596802841923,5.184743742550646,0.33840947546530664,2004-05-01,2004-07-01
2004-07-01,,,,,,,,58.0,60.4,58.53333333333333,6.747720364741627,7.092198581560294,5.43868650590047,1.8549747048903997,2004-06-01,2004-08-01
2004-08-01,,,,,,,,59.1,60.6,58.300000000000004,7.432432432432434,7.637655417406752,5.711715763436032,0.33112582781458233,2004-07-01,2004-09-01
2004-09-01,,,,,,,,57.8,60.8,59.93333333333334,7.923169267707086,7.420494699646629,5.918940609951839,0.3300330033003229,2004-08-01,2004-10-01
2004-10-01,,,,,,,,62.9,61.5,61.36666666666667,8.29411764705883,8.465608465608465,6.182602444284679,1.1513157894736947,2004-09-01,2004-11-01
2004-11-01,,,,,,,,63.4,61.6,64.13333333333333,8.762012436404731,8.64197530864197,6.425898812428832,0.1626016260162677,2004-10-01,2004-12-01
