fecha,ipc_indice_original,ipc_mensual_original,ipc_anual_original,ipc_indice_sa,ipc_tendencia,ipc_factor_estacional,ipc_irregular,ipc_mensual_sa,ipc_anual_sa,ipc_anual_original_calculada
2023-06-01,99.26,-0.2,7.6,99.4456469381348,99.4628873676197,0.998133181855106,0.999826664699355,0.1739403456556321,7.560776252290213,7.552280853830307
2023-07-01,99.61,0.4,6.5,99.6803638517891,99.6621953077447,0.999294105187118,1.00018230126266,0.23602532728286274,6.467318134961464,6.4664386489952985
2023-08-01,99.72,0.1,5.3,99.8492276929935,99.9410596025798,0.998705771732248,0.999081139324003,0.16940532185001356,5.3137392904268665,5.312070968423277
2023-09-01,100.39,0.7,5.1,100.399599803079,100.321750410185,0.999904384050353,1.00077599715492,0.5512031718239552,5.116504477498696,5.109412626950061
2023-10-01,100.84,0.4,5.0,100.650165852633,100.795638738507,1.00188607883314,0.998556754164228,0.24956877322763749,5.053115682765208,5.041666666666678
2023-11-01,101.59,0.7,4.8,101.484759154154,101.228539116435,1.00103701133769,1.00253110476508,0.8292021125359872,4.793642886165106,4.796781514338777
2023-12-01,101.04,-0.5,3.9,101.289003454098,101.447218435699,0.997541653628657,0.998440420703099,-0.19289172254787212,3.9584000257421925,3.9399238761444355
2024-01-01,101.72,0.7,3.8,101.732839827619,101.805668124238,0.9998737887624,0.99928463416664,0.43818811360123444,3.8021409251732363,3.79591836734694
2024-02-01,102.32,0.6,4.5,102.478542214644,102.315010328223,0.998452922814689,1.00159831764563,0.7330006596577343,4.4827376566882515,4.4827938323291905
2024-03-01,102.7,0.4,3.7,102.566137870904,102.651010884575,1.00130512985937,0.999173188720313,0.08547707097212864,3.7348152298147808,3.7373737373737503
2024-04-01,103.24,0.5,4.0,102.991027209135,102.977262556796,1.00241742215426,1.00013366690857,0.4142588841219652,3.949857488129327,3.9677744209466237
2024-05-01,103.52,0.3,4.1,103.363900987819,103.332447519119,1.00151018886371,1.00030439101613,0.36204491671574246,4.120889855435261,4.134392918217489
2024-06-01,103.42,-0.1,4.2,103.615271736229,103.712092733559,0.998115415488884,0.999066444473562,0.24319007507236368,4.192868090735158,4.191013499899254
2024-07-01,104.19,0.7,4.6,104.258988507353,104.179324648509,0.999338296790132,1.00076468012355,0.6212566548710052,4.593306523611496,4.597931934544719
2024-08-01,104.45,0.3,4.7,104.581067577065,104.492942686579,0.99874673705192,1.00084335734281,0.30892211244624157,4.738984961025938,4.743281187324522
2024-09-01,104.54,0.1,4.1,104.552196723213,104.759670800181,0.999883343214245,0.998019523396908,-0.027606195385909693,4.136069195772474,4.133877876282499
2024-10-01,105.56,1.0,4.7,105.368071240509,105.251198647589,1.00182150776067,1.00111041579024,0.7803513870262346,4.687429323051218,4.6806822689408945
2024-11-01,105.83,0.2,4.2,105.723232923014,105.677100921397,1.00100987336495,1.00043653735024,0.3370676508771986,4.176463346995596,4.173639137710405
